Scopus refine results values

"Your query : ((TITLE-ABS-KEY(reus*) AND TITLE-ABS-KEY(structural AND *)) AND ( LIMIT-TO ( SUBJAREA,""ENGI"" ) OR LIMIT-TO ( SUBJAREA,""MATE"" ) OR LIMIT-TO ( SUBJAREA,""ENVI"" ) OR LIMIT-TO ( SUBJAREA,""MULT"" ) )  AND ( LIMIT-TO ( LANGUAGE,""English"" ) )  AND ( LIMIT-TO ( EXACTKEYWORD,""Reusability"" ) OR LIMIT-TO ( EXACTKEYWORD,""Reuse"" ) OR LIMIT-TO ( EXACTKEYWORD,""Building Materials"" ) OR LIMIT-TO ( EXACTKEYWORD,""Buildings"" ) OR LIMIT-TO ( EXACTKEYWORD,""Circular Economy"" ) OR LIMIT-TO ( EXACTKEYWORD,""Structural Component"" ) OR LIMIT-TO ( EXACTKEYWORD,""Structural Elements"" ) ) )"


Number of results : 1622

"OPEN ACCESS",,"YEAR",,"AUTHOR NAME",,"SUBJECT AREA",,"DOCUMENT TYPE",,"PUBLICATION STAGE",,"SOURCE TITLE",,"KEYWORD",,"AFFILIATION",,"FUNDING SPONSOR",,"COUNTRY",,"SOURCE TYPE",,"LANGUAGE",
,,,,"Pastore, R.","3",,,,,,,"Process Safety And Environmental Protection","4","Finite Element Method","39","Khon Kaen University","5","Korea Institute of Science and Technology","3","Slovakia","1",,,,
,,,,"Pongiglione, M.","3",,,,,,,"Reactive And Functional Polymers","4","Heavy Metals","39","Xi'an Jiaotong University","5","Ministarstvo Prosvete, Nauke i Tehnološkog Razvoja","3","Sri Lanka","1",,,,
,,,,"Pudukudy, M.","3",,,,,,,"Waste Management And Research","4","Nanocatalysts","39","Technische Universität Dresden","5","Ministerio de Educación, Cultura y Deporte","3","Uruguay","1",,,,
,,,,"Rajkumar, P.","3",,,,,,,"41st Structures Structural Dynamics And Materials Conference And Exhibit","3","Photo Catalytic Degradation","39","Texas A&amp;M University","5","Ministry of Education, India","3","Uzbekistan","1",,,,
,,,,"Ralegaonkar, R.V.","3",,,,,,,"AIAA Dynamics Specialists Conference","3","Structural Optimization","39","Anna University","5","Ministry of Trade, Industry and Energy","3","Zimbabwe","1",,,,
,,,,"Saeli, M.","3",,,,,,,"Advanced Functional Materials","3","Nanocomposite","38","Nanjing University of Aeronautics and Astronautics","5","Ministério da Ciência, Tecnologia e Ensino Superior","3","Undefined","20",,,,
,,,,"Santoni, F.","3",,,,,,,"Advances In Intelligent Systems And Computing","3","Water Pollutants, Chemical","38","Faculdade de Ciências e Tecnologia da Universidade Nova de Lisboa","5","Natural Science Foundation of Guangxi Province","3",,,,,,
,,,,"Schumacher, T.","3",,,,,,,"Applied Sciences Switzerland","3","Magnetism","37","Hanyang University","5","Natural Science Foundation of Heilongjiang Province","3",,,,,,
,,,,"Sharma, M.","3",,,,,,,"Automation In Construction","3","Polymers","37","Shanghai Jiao Tong University","5","Qinglan Project of Jiangsu Province of China","3",,,,,,
,,,,"Sheng, X.","3",,,,,,,"Biomacromolecules","3","Temperature","37","Simpson Gumpertz and Heger, Inc.","5","RMIT University","3",,,,,,
,,,,"Sorlini, S.","3",,,,,,,"Biosensors And Bioelectronics","3","Chemicals Removal (water Treatment)","36","ETH Zürich","5","Regione Lombardia","3",,,,,,
,,,,"Srinivasan, M.","3",,,,,,,"Ceas Space Journal","3","Mesoporous Materials","36","University of Exeter","5","Science and Technology Commission of Shanghai Municipality","3",,,,,,
,,,,"Taheri-Ledari, R.","3",,,,,,,"Cellulose","3","Chemical Structure","35","Chulalongkorn University","5","Seventh Framework Programme","3",,,,,,
,,,,"Thomas, A.M.","3",,,,,,,"Clays And Clay Minerals","3","Compressive Strength","35","Queen's University Belfast","5","Sharif University of Technology","3",,,,,,
,,,,"Thostenson, E.T.","3",,,,,,,"Crystal Growth And Design","3","Light Absorption","35","Indian Institute of Technology Roorkee","5","State Key Laboratory of Urban Water Resource and Environment","3",,,,,,
,,,,"Titov, D.M.","3",,,,,,,"Crystengcomm","3","Methylene Blue","35","University of South Australia","5","Transformation Program of Scientific and Technological Achievements of Jiangsu Province","3",,,,,,
,,,,"Uy, B.","3",,,,,,,"Desalination","3","Phenols","35","University of Cyprus","5","Unitatea Executiva pentru Finantarea Invatamantului Superior, a Cercetarii, Dezvoltarii si Inovarii","3",,,,,,
,,,,"Uyar, T.","3",,,,,,,"Developments In The Built Environment","3","Surface Area","35","Bannari Amman Institute of Technology","5","University of Johannesburg","3",,,,,,
,,,,"Vassalli, C.","3",,,,,,,"Engineering For Progress Nature And People","3","Walls (structural Partitions)","35","Centro Italiano Ricerche Aerospaziali","5","Università degli Studi di Brescia","3",,,,,,
,,,,"Veljkovic, M.","3",,,,,,,"Environmental Science Nano","3","Waste Disposal","35","Aalto University","5","Academy of Finland","2",,,,,,
,,,,"Vignesh, S.","3",,,,,,,"Green Energy And Technology","3","Catalytic Performance","34","Edith Cowan University","5","Aeronautical Development Agency","2",,,,,,
,,,,"Wang, L.","3",,,,,,,"Iass Symposium 2019 60th Anniversary Symposium Of The International Association For Shell And Spatial Structures Structural Membranes 2019 9th International Conference On Textile Composites And Inflatable Structures Form And Force","3","Launching","34","Universidade de Lisboa","5","Agency for Defense Development","2",,,,,,
,,,,"Webster, M.D.","3",,,,,,,"Journal Of Computing In Civil Engineering","3","Optimization","34","Academy of Scientific and Innovative Research AcSIR","5","Agència de Gestió d'Ajuts Universitaris i de Recerca","2",,,,,,
,,,,"Wilken, J.","3",,,,,,,"Journal Of Electronic Materials","3","Oxide Minerals","34","University of Johannesburg","4","Alberta Innovates - Technology Futures","2",,,,,,
,,,,"Xing, K.","3",,,,,,,"Journal Of Membrane Science","3","Photocatalysts","34","Shenzhen University","4","Amirkabir University of Technology","2",,,,,,
,,,,"Yu, J.","3",,,,,,,"Journal Of Physics And Chemistry Of Solids","3","Reinforced Concrete","34","Southwest University of Science and Technology","4","Bangladesh Council of Scientific and Industrial Research","2",,,,,,
,,,,"Zangeneh, H.","3",,,,,,,"Journal Of Polymers And The Environment","3","Waste Management","34","Rockwell International","4","Basic Energy Sciences","2",,,,,,
,,,,"Zanoletti, A.","3",,,,,,,"Journal Of Sol Gel Science And Technology","3","Energy Dispersive X Ray Spectroscopy","33","NASA Ames Research Center","4","Beijing Municipal Commission of Education","2",,,,,,
,,,,"Zhang, Y.","3",,,,,,,"Lecture Notes In Electrical Engineering","3","II-VI Semiconductors","33","Instituto Superior Técnico","4","Bhabha Atomic Research Centre","2",,,,,,
,,,,"Zhou, Y.","3",,,,,,,"Life Cycle Analysis And Assessment In Civil Engineering Towards An Integrated Vision Proceedings Of The 6th International Symposium On Life Cycle Civil Engineering Ialcce 2018","3","Sulfur Compounds","33","Guangdong University of Technology","4","Bundesministerium für Bildung und Forschung","2",,,,,,
,,,,"Zinatizadeh, A.A.","3",,,,,,,"Macromolecular Symposia","3","Thermogravimetric Analysis","33","Jilin University","4","China Academy of Space Technology","2",,,,,,
,,,,"AL-ghamdi, A.A.","2",,,,,,,"Materials And Design","3","Water","33","Amirkabir University of Technology","4","China Scholarship Council","2",,,,,,
,,,,"Abdullah, E.C.","2",,,,,,,"Materials Research Society Symposium Proceedings","3","Zinc Oxide","33","Technische Universität Braunschweig","4","Chongqing Municipal Education Commission","2",,,,,,
,,,,"Abramyan, S.G.","2",,,,,,,"Modern Steel Construction","3","Infrared Spectroscopy","32","Universitat Politècnica de València","4","Chongqing Postdoctoral Science Special Foundation","2",,,,,,
,,,,"Agarwal, V.","2",,,,,,,"Ocean Engineering","3","Pollutant Removal","32","The University of Texas at Austin","4","Chongqing Research Program of Basic Research and Frontier Technology","2",,,,,,
,,,,"Agostinelli, F.","2",,,,,,,"Optical Materials","3","Visible-light Irradiation","32","Seoul National University","4","Chulalongkorn University","2",,,,,,
,,,,"Akshhayya, C.","2",,,,,,,"Practice Periodical On Structural Design And Construction","3","]+ Catalyst","31","Bilkent Üniversitesi","4","Consorzio Interuniversitario Nazionale per la Scienza e Tecnologia dei Materiali","2",,,,,,
,,,,"Al-Haddad, T.","2",,,,,,,"Procedia Engineering","3","Antibiotics","31","Aristotle University of Thessaloniki","4","Core Research for Evolutional Science and Technology","2",,,,,,
,,,,"Ali, A.","2",,,,,,,"Sensors And Actuators B Chemical","3","Carbon Dioxide","31","Rheinisch-Westfälische Technische Hochschule Aachen","4","Coventry University","2",,,,,,
